time,temperature,humidity
2024-09-10 20:14:56.752537,22.2,58.8
2024-09-10 20:14:58.105406,22.2,58.7
2024-09-10 20:14:59.458383,22.2,58.7
2024-09-10 20:15:00.811220,None,None
2024-09-10 20:15:02.164056,None,None
2024-09-10 20:15:03.516926,22.2,58.8
2024-09-10 20:15:04.869828,None,None
2024-09-10 20:15:06.222823,None,None
2024-09-10 20:15:07.575741,22.2,58.8
2024-09-10 20:15:08.928753,22.2,58.8
2024-09-10 20:15:10.282268,None,None
2024-09-10 20:15:11.635159,22.2,58.8
2024-09-10 20:15:12.988001,22.2,58.9
2024-09-10 20:15:14.340935,22.2,58.9
2024-09-10 20:15:15.693807,22.2,58.9
2024-09-10 20:15:17.046772,22.2,59.0
2024-09-10 20:15:18.399636,22.2,59.0
2024-09-10 20:15:19.752533,22.2,59.0
2024-09-10 20:15:21.105543,22.2,59.0
2024-09-10 20:15:22.458430,22.2,59.2
2024-09-10 20:15:23.811266,None,None
2024-09-10 20:15:25.164120,None,None
2024-09-10 20:15:26.517104,22.2,59.3
2024-09-10 20:15:27.870117,22.2,59.3
2024-09-10 20:15:29.223085,None,None
2024-09-10 20:15:30.575906,None,None
2024-09-10 20:15:31.928769,22.2,59.2
2024-09-10 20:15:33.281744,22.2,59.3
2024-09-10 20:15:34.634652,None,None
2024-09-10 20:15:35.988400,22.2,59.3
2024-09-10 20:15:37.342211,None,None
2024-09-10 20:15:38.695075,None,None
2024-09-10 20:15:40.048266,None,None
2024-09-10 20:15:41.401906,None,None
2024-09-10 20:15:42.754748,22.2,59.1
2024-09-10 20:15:44.107651,22.2,59.1
2024-09-10 20:15:45.460777,None,None
2024-09-10 20:15:46.813798,None,None
2024-09-10 20:15:48.166713,None,None
2024-09-10 20:15:49.519534,22.2,59.3
2024-09-10 20:15:50.872442,22.2,59.2
2024-09-10 20:15:52.225498,22.2,59.2
2024-09-10 20:15:53.578331,22.2,59.1
2024-09-10 20:15:54.931070,22.2,59.1
2024-09-10 20:15:56.284136,22.2,59.0
2024-09-10 20:15:57.636999,None,None
2024-09-10 20:15:58.989714,22.2,58.9
2024-09-10 20:16:00.342597,None,None
2024-09-10 20:16:01.695513,None,None
2024-09-10 20:16:03.048207,22.2,58.8
2024-09-10 20:16:04.401037,22.2,58.9
2024-09-10 20:16:05.753961,None,None
2024-09-10 20:16:07.106964,None,None
2024-09-10 20:16:08.459748,None,None
2024-09-10 20:16:09.812516,22.2,59.2
2024-09-10 20:16:11.165428,22.2,59.3
2024-09-10 20:16:12.518652,None,None
2024-09-10 20:16:13.871377,22.2,59.4
2024-09-10 20:16:15.224161,22.2,59.5
2024-09-10 20:16:16.577029,None,None
2024-09-10 20:16:17.930023,None,None
2024-09-10 20:16:19.282812,22.2,59.5
2024-09-10 20:16:20.635614,22.2,59.4
2024-09-10 20:16:21.988376,22.2,59.5
2024-09-10 20:16:23.341317,22.2,59.5
2024-09-10 20:16:24.694207,22.2,59.5
2024-09-10 20:16:26.046968,22.2,59.4
2024-09-10 20:16:27.399724,None,None
2024-09-10 20:16:28.752582,22.2,59.5
2024-09-10 20:16:30.105629,22.2,59.5
2024-09-10 20:16:31.458636,22.2,59.5
2024-09-10 20:16:32.811351,22.2,59.6
2024-09-10 20:16:34.164251,22.2,59.6
2024-09-10 20:16:35.517059,22.2,59.6
2024-09-10 20:16:36.869875,22.2,59.6
2024-09-10 20:16:38.222621,22.2,59.6
2024-09-10 20:16:39.575624,22.2,59.6
2024-09-10 20:16:40.928368,22.2,59.5
2024-09-10 20:16:42.281129,22.2,59.4
2024-09-10 20:16:43.633997,None,None
2024-09-10 20:16:44.986858,22.2,59.3
2024-09-10 20:16:46.339626,22.2,59.2
2024-09-10 20:16:47.692448,22.2,59.1
2024-09-10 20:16:49.045266,None,None
2024-09-10 20:16:50.398416,None,None
2024-09-10 20:16:51.751171,None,None
2024-09-10 20:16:53.103860,22.2,58.8
2024-09-10 20:16:54.456597,22.2,58.8
2024-09-10 20:16:55.809607,22.2,58.7
2024-09-10 20:16:57.162480,22.2,58.7
2024-09-10 20:16:58.515375,22.2,58.7
2024-09-10 20:16:59.868177,22.2,58.7
2024-09-10 20:17:01.221194,None,None
